trait,blue,GID
DL_mean,-6.346575484,GID7310280
DL_mean,-34.80747663,GID7310282
DL_mean,-12.46594012,GID7310284
DL_mean,-12.1647869,GID7310290
DL_mean,-15.73691158,GID7310307
DL_mean,-8.996244265,GID7310407
DL_mean,-7.001899616,GID7310414
DL_mean,-11.06143469,GID7310415
DL_mean,-13.22433253,GID7310423
DL_mean,-3.169672421,GID7310428
DL_mean,-8.550754176,GID7310430
DL_mean,-16.17486577,GID7310511
DL_mean,-7.172590606,GID7310601
DL_mean,-9.094701268,GID7310606
DL_mean,-4.063194076,GID7310617
DL_mean,-11.04356421,GID7310628
DL_mean,-13.32224734,GID7310629
DL_mean,-15.44809651,GID7310635
DL_mean,-10.30482733,GID7310700
DL_mean,-8.114898346,GID7310704
DL_mean,-9.369771265,GID7310720
DL_mean,-11.46978205,GID7310723
DL_mean,-7.671108125,GID7310770
DL_mean,-9.897345018,GID7310771
DL_mean,-15.84245282,GID7310775
DL_mean,-12.13081355,GID7310785
DL_mean,-13.11372433,GID7310788
DL_mean,-6.480964935,GID7310789
DL_mean,-7.814068009,GID7310794
DL_mean,-11.53462197,GID7310795
DL_mean,-9.930447515,GID7310797
DL_mean,-8.761592235,GID7310799
DL_mean,-14.89588828,GID7310804
DL_mean,-9.849249532,GID7310807
DL_mean,-22.21736795,GID7310835
DL_mean,-2.12317124,GID7310862
DL_mean,-16.56431352,GID7310893
DL_mean,-7.976613532,GID7310894
DL_mean,-8.339174316,GID7310902
DL_mean,-5.325298799,GID7310905
DL_mean,-10.19591432,GID7310906
DL_mean,-17.97524417,GID7310918
DL_mean,-15.39709917,GID7310946
DL_mean,-13.61866483,GID7310981
DL_mean,-15.5494545,GID7311017
DL_mean,-19.68644149,GID7311040
DL_mean,-28.71687395,GID7311059
DL_mean,-4.029807315,GID7311077
DL_mean,-24.25557513,GID7311105
DL_mean,-9.020057733,GID7311132
DL_mean,-29.59635645,GID7311134
DL_mean,-12.09893247,GID7311152
DL_mean,-4.135969111,GID7311160
DL_mean,-4.437434273,GID7311174
DL_mean,-8.199746287,GID7311249
DL_mean,-11.54534987,GID7311300
DL_mean,-10.36635042,GID7311326
DL_mean,-4.125915419,GID7311365
DL_mean,-23.78323204,GID7311467
DL_mean,-6.416740503,GID7311478
DL_mean,-28.82665905,GID7311520
DL_mean,-17.3502038,GID7311544
DL_mean,-22.91209233,GID7311551
DL_mean,-16.94000623,GID7311555
DL_mean,-27.10961748,GID7311566
DL_mean,-45.53538385,GID7311612
DL_mean,-17.49475074,GID7311762
DL_mean,-11.61065255,GID7311884
DL_mean,-13.73440545,GID7311894
DL_mean,-15.42740754,GID7311895
DL_mean,-15.33383239,GID7311967
DL_mean,-26.56759392,GID7312045
DL_mean,-20.87063279,GID7312063
DL_mean,-24.93960122,GID7312066
DL_mean,-12.3704145,GID7312069
